variant,dependence_mean,group,period,metric,n,mean,low,high
limited_access,0.5,high_tail,late,firm_equal_resolved,20,0.40127976190476194,0.3355917658730158,0.467361359126984
limited_access,0.5,low,early,domestic_use,20,0.7654509125784702,0.7343334056448666,0.7963686903862337
limited_access,0.5,low,early,customer_use,20,0.511540097264202,0.4501618700592885,0.5752946912954906
limited_access,0.5,low,early,resolved,20,0.4070413718847223,0.3546774179039205,0.46109062676453977
limited_access,0.5,low,early,customer_success,20,0.26270313020313013,0.18701240079365075,0.34706135531135535
limited_access,0.5,low,early,first_customer,20,0.3461349035661695,0.2933248223696593,0.40138311048233527
limited_access,0.5,low,early,both_use,20,0.32619136192026216,0.27474958343021005,0.3846294736273956
limited_access,0.5,low,early,d_to_e,20,0.1557623365551754,0.1204827517963707,0.19268797400383075
limited_access,0.5,low,early,firm_equal_resolved,20,0.41285052910052905,0.36197189153439147,0.46493584656084647
limited_access,0.5,low,late,domestic_use,20,0.8405855527322919,0.8070368965273856,0.8721783106687999
limited_access,0.5,low,late,customer_use,20,0.5069151530836314,0.4508192954388606,0.5590887357660456
limited_access,0.5,low,late,resolved,20,0.37184464991530203,0.31565147593951937,0.4326134716732542
limited_access,0.5,low,late,customer_success,20,0.20868978243978242,0.1516344696969697,0.26930176767676767
limited_access,0.5,low,late,first_customer,20,0.3153096571303093,0.2703692956349207,0.35795861271880286
limited_access,0.5,low,late,both_use,20,0.3783836423238597,0.3311393133587427,0.423821920681975
limited_access,0.5,low,late,d_to_e,20,0.17136340109166195,0.12696073898927157,0.2162104243130058
limited_access,0.5,low,late,firm_equal_resolved,20,0.370839947089947,0.3131502976190476,0.4317195767195766
limited_access,0.5,low_tail,early,domestic_use,20,0.770061698921993,0.714710033634666,0.8251952495013157
limited_access,0.5,low_tail,early,customer_use,20,0.5164969548425431,0.4264816773300229,0.6063022106569899
limited_access,0.5,low_tail,early,resolved,20,0.4022909239453357,0.3432611832611832,0.4592424162846956
limited_access,0.5,low_tail,early,customer_success,19,0.24369636211741472,0.16619845067213487,0.3269039074960127
limited_access,0.5,low_tail,early,first_customer,20,0.3417859795433324,0.26886189892623713,0.41646535072362273
limited_access,0.5,low_tail,early,both_use,20,0.32771666242254477,0.2567540266106442,0.4021829853153382
limited_access,0.5,low_tail,early,d_to_e,20,0.1635998641880995,0.11651061030472794,0.21447070494864612
limited_access,0.5,low_tail,early,firm_equal_resolved,20,0.4095337301587302,0.35263864087301583,0.4658070436507936
limited_access,0.5,low_tail,late,domestic_use,20,0.8283662048735578,0.7798532858073299,0.8730025945255726
limited_access,0.5,low_tail,late,customer_use,20,0.5090076345223403,0.41620483376917194,0.5911855779024895
limited_access,0.5,low_tail,late,resolved,20,0.3411839386104092,0.2813850689751425,0.4022456960931225
limited_access,0.5,low_tail,late,customer_success,19,0.1956140350877193,0.13478801169590646,0.2599415204678362
limited_access,0.5,low_tail,late,first_customer,20,0.3259340904193845,0.2549808739055063,0.3935075231141406
limited_access,0.5,low_tail,late,both_use,20,0.3723555243775832,0.2907043009074259,0.4467328547677812
limited_access,0.5,low_tail,late,d_to_e,20,0.16058956974398148,0.10283672332569388,0.21849533064974225
limited_access,0.5,low_tail,late,firm_equal_resolved,20,0.33558531746031744,0.27835119047619045,0.3952145337301587
limited_access,0.7,all,early,domestic_use,20,0.7639509355099237,0.7318271630394926,0.7942433172667244
limited_access,0.7,all,early,customer_use,20,0.5614966623923149,0.5194301965478735,0.6063127972988988
limited_access,0.7,all,early,resolved,20,0.4283566792097358,0.39444373842612557,0.4595591561614136
limited_access,0.7,all,early,customer_success,20,0.30239305570241765,0.2519977020475262,0.35000640919939524
limited_access,0.7,all,early,first_customer,20,0.39804237492876715,0.35854204560426634,0.44398479706578314
limited_access,0.7,all,early,both_use,20,0.36410674668883136,0.3328112988451685,0.39478104613438947
limited_access,0.7,all,early,d_to_e,20,0.15442247989034086,0.1277183670004538,0.18189154649250497
limited_access,0.7,all,early,firm_equal_resolved,20,0.42756613756613754,0.3904612268518518,0.4601092923280423
limited_access,0.7,all,late,domestic_use,20,0.7716412775690193,0.7432104351131614,0.7996997851829982
limited_access,0.7,all,late,customer_use,20,0.5410742606118312,0.49654293840548774,0.5838837905910078
