period,group,cases,customer_users,domestic_use,customer_use,resolved,customer_success,first_customer,both_use,d_to_e,firm_equal_resolved,firms_observed,variant,dependence_mean,seed
late,low,23,17,0.8260869565217391,0.7391304347826086,0.4782608695652174,0.23529411764705882,0.34782608695652173,0.5652173913043478,0.34782608695652173,0.4444444444444444,3,main,0.5,0
late,high,20,13,0.65,0.65,0.65,0.38461538461538464,0.45,0.35,0.2,0.6404761904761904,3,main,0.5,0
late,low_tail,15,11,0.7333333333333333,0.7333333333333333,0.4666666666666667,0.18181818181818182,0.4,0.4666666666666667,0.26666666666666666,0.41666666666666663,2,main,0.5,0
late,high_tail,15,9,0.6,0.6,0.6666666666666666,0.4444444444444444,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.6607142857142857,2,main,0.5,0
early,all,41,31,0.8048780487804879,0.7560975609756098,0.43902439024390244,0.25806451612903225,0.5609756097560976,0.5609756097560976,0.1951219512195122,0.4464285714285714,6,main,0.7,0
early,low,20,16,0.8,0.8,0.45,0.25,0.6,0.6,0.2,0.45833333333333326,3,main,0.7,0
early,high,21,15,0.8095238095238095,0.7142857142857143,0.42857142857142855,0.26666666666666666,0.5238095238095238,0.5238095238095238,0.19047619047619047,0.43452380952380953,3,main,0.7,0
early,low_tail,14,12,0.7142857142857143,0.8571428571428571,0.35714285714285715,0.3333333333333333,0.6428571428571429,0.5714285714285714,0.21428571428571427,0.35416666666666663,2,main,0.7,0
early,high_tail,13,11,0.8461538461538461,0.8461538461538461,0.46153846153846156,0.2727272727272727,0.6153846153846154,0.6923076923076923,0.23076923076923078,0.4642857142857143,2,main,0.7,0
late,all,43,28,0.7906976744186046,0.6511627906976745,0.6744186046511628,0.35714285714285715,0.46511627906976744,0.4418604651162791,0.16279069767441862,0.6644179894179895,6,main,0.7,0
late,low,23,13,0.9130434782608695,0.5652173913043478,0.6086956521739131,0.3076923076923077,0.34782608695652173,0.4782608695652174,0.17391304347826086,0.5740740740740741,3,main,0.7,0
late,high,20,15,0.65,0.75,0.75,0.4,0.6,0.4,0.15,0.7547619047619047,3,main,0.7,0
late,low_tail,15,8,0.8666666666666667,0.5333333333333333,0.6666666666666666,0.25,0.4,0.4,0.13333333333333333,0.611111111111111,2,main,0.7,0
late,high_tail,15,11,0.5333333333333333,0.7333333333333333,0.7333333333333333,0.5454545454545454,0.6,0.26666666666666666,0.13333333333333333,0.7321428571428572,2,main,0.7,0
early,all,41,33,0.6829268292682927,0.8048780487804879,0.5365853658536586,0.36363636363636365,0.6097560975609756,0.4878048780487805,0.1951219512195122,0.5535714285714285,6,main,0.9,0
early,low,20,17,0.6,0.85,0.55,0.35294117647058826,0.7,0.45,0.15,0.5694444444444445,3,main,0.9,0
early,high,21,16,0.7619047619047619,0.7619047619047619,0.5238095238095238,0.375,0.5238095238095238,0.5238095238095238,0.23809523809523808,0.5376984126984127,3,main,0.9,0
early,low_tail,14,13,0.5,0.9285714285714286,0.42857142857142855,0.38461538461538464,0.7142857142857143,0.42857142857142855,0.21428571428571427,0.4375,2,main,0.9,0
early,high_tail,13,11,0.7692307692307693,0.8461538461538461,0.6153846153846154,0.45454545454545453,0.6153846153846154,0.6153846153846154,0.23076923076923078,0.6190476190476191,2,main,0.9,0
late,all,43,37,0.6511627906976745,0.8604651162790697,0.627906976744186,0.4864864864864865,0.5581395348837209,0.5116279069767442,0.2558139534883721,0.6326719576719578,6,main,0.9,0
late,low,23,20,0.6956521739130435,0.8695652173913043,0.5217391304347826,0.4,0.5217391304347826,0.5652173913043478,0.2608695652173913,0.5046296296296297,3,main,0.9,0
late,high,20,17,0.6,0.85,0.75,0.5882352941176471,0.6,0.45,0.25,0.7607142857142858,3,main,0.9,0
late,low_tail,15,13,0.6666666666666666,0.8666666666666667,0.4666666666666667,0.3076923076923077,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.4444444444444444,2,main,0.9,0
