case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,customer,cohort
57:36,57,4,36,,,,,,,,,,unused,unused,,,0.0,,unsubmitted,0.9716238885004167,False,0.4162920712285151,,,,,,,71.0,1,3
74:36,74,4,36,37.0,37.0,,39.0,,,,40.0,,successful,unused,40.0,d,1.0,d,resolved,0.8132796267732176,True,0.4162920712285151,40.0,,remedy_supported,40.0,3.0,3.0,4.0,1,3
87:36,87,0,36,39.0,39.0,,41.0,,,,42.0,,successful,unused,42.0,d,1.0,d,resolved,0.26218004152940866,True,0.47042565019858995,42.0,,remedy_supported,42.0,3.0,3.0,6.0,2,3
89:36,89,5,36,39.0,39.0,,41.0,,,,42.0,,successful,unused,42.0,d,1.0,d,resolved,0.4952361511130273,False,0.506188904761806,42.0,,remedy_supported,42.0,3.0,3.0,6.0,2,3
94:36,94,3,36,36.0,36.0,,38.0,,,,39.0,,successful,unused,39.0,d,1.0,d,resolved,0.5376252371718311,False,0.40760183202748823,39.0,,remedy_supported,39.0,3.0,3.0,3.0,1,3
107:36,107,2,36,54.0,54.0,,56.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8612830384861387,False,0.6,56.0,,no_remedy,,,53.0,71.0,0,3
110:36,110,1,36,36.0,36.0,,38.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5941400530441188,False,0.5994915417836008,38.0,,no_remedy,,,71.0,71.0,0,3
157:36,157,5,36,39.0,39.0,,41.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.2835431020295682,False,0.506188904761806,41.0,,no_remedy,,,68.0,71.0,2,3
161:36,161,2,36,39.0,39.0,,41.0,,,,42.0,,successful,unused,42.0,d,1.0,d,resolved,0.37138413573709034,True,0.6,42.0,,remedy_supported,42.0,3.0,3.0,6.0,0,3
165:36,165,3,36,37.0,40.0,37.0,42.0,39.0,,,43.0,,successful,closed_unresolved,43.0,d,1.0,e,resolved,0.46889751029360993,True,0.40760183202748823,43.0,39.0,remedy_supported,43.0,6.0,6.0,7.0,1,3
175:36,175,0,36,37.0,,37.0,,39.0,,39.0,,40.0,unused,successful,40.0,e,1.0,e,resolved,0.4812840955143757,True,0.47042565019858995,,40.0,,,3.0,3.0,4.0,2,3
180:36,180,1,36,39.0,39.0,,41.0,,,,42.0,,successful,unused,42.0,d,1.0,d,resolved,0.5992177196443977,True,0.5994915417836008,42.0,,remedy_supported,42.0,3.0,3.0,6.0,0,3
189:36,189,3,36,37.0,37.0,,39.0,,,,40.0,,successful,unused,40.0,d,1.0,d,resolved,0.45356990248120477,True,0.40760183202748823,40.0,,remedy_supported,40.0,3.0,3.0,4.0,1,3
203:36,203,4,36,39.0,39.0,47.0,42.0,49.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.37653744317011917,True,0.4162920712285151,42.0,49.0,no_remedy,,,68.0,71.0,1,3
208:36,208,2,36,37.0,,37.0,,39.0,,39.0,,40.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.46105822339455416,True,0.6,,40.0,,,,70.0,71.0,0,3
220:36,220,1,36,39.0,49.0,39.0,51.0,41.0,,41.0,52.0,42.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.9905269408351938,True,0.5994915417836008,52.0,42.0,remedy_supported,52.0,,68.0,71.0,0,3
236:36,236,2,36,,,,,,,,,,unused,unused,,,0.0,,unsubmitted,0.9839076255721144,False,0.6,,,,,,,71.0,0,3
1:48,1,0,48,50.0,50.0,,52.0,,,,53.0,,successful,unused,53.0,d,1.0,d,resolved,0.8902054536854775,True,0.47042565019858995,53.0,,remedy_supported,53.0,3.0,3.0,5.0,2,4
23:48,23,0,48,50.0,50.0,71.0,52.0,73.0,,73.0,,74.0,closed_unresolved,successful,74.0,e,1.0,d,resolved,0.47103926075571095,True,0.47042565019858995,52.0,74.0,no_remedy,,24.0,24.0,26.0,2,4
