variant,dependence_mean,group,period,metric,n,mean,low,high
limited_access,0.1,low,late,first_customer,2,0.25362318840579706,0.1739130434782608,0.3333333333333333
limited_access,0.1,low,late,both_use,2,0.40217391304347827,0.3043478260869565,0.5
limited_access,0.1,low,late,d_to_e,2,0.1980676328502415,0.1739130434782608,0.2222222222222222
limited_access,0.1,low,late,firm_equal_resolved,2,0.4119708994708995,0.3841269841269841,0.4398148148148148
limited_access,0.1,low_tail,early,domestic_use,2,0.8571428571428572,0.7857142857142857,0.9285714285714286
limited_access,0.1,low_tail,early,customer_use,2,0.42857142857142855,0.2857142857142857,0.5714285714285714
limited_access,0.1,low_tail,early,resolved,2,0.24999999999999994,0.2142857142857142,0.2857142857142857
limited_access,0.1,low_tail,early,customer_success,2,0.0625,0.0,0.125
limited_access,0.1,low_tail,early,first_customer,2,0.24999999999999994,0.1428571428571428,0.3571428571428571
limited_access,0.1,low_tail,early,both_use,2,0.28571428571428564,0.2142857142857142,0.3571428571428571
limited_access,0.1,low_tail,early,d_to_e,2,0.1785714285714285,0.1428571428571428,0.2142857142857142
limited_access,0.1,low_tail,early,firm_equal_resolved,2,0.2604166666666666,0.2291666666666666,0.2916666666666666
limited_access,0.1,low_tail,late,domestic_use,2,0.8166666666666667,0.8,0.8333333333333334
limited_access,0.1,low_tail,late,customer_use,2,0.6166666666666667,0.4,0.8333333333333334
limited_access,0.1,low_tail,late,resolved,2,0.35833333333333334,0.25,0.4666666666666667
limited_access,0.1,low_tail,late,customer_success,2,0.0833333333333333,0.0,0.1666666666666666
limited_access,0.1,low_tail,late,first_customer,2,0.3833333333333333,0.2666666666666666,0.5
limited_access,0.1,low_tail,late,both_use,2,0.5083333333333333,0.2666666666666666,0.75
limited_access,0.1,low_tail,late,d_to_e,2,0.2333333333333333,0.1333333333333333,0.3333333333333333
limited_access,0.1,low_tail,late,firm_equal_resolved,2,0.3575396825396825,0.2428571428571428,0.4722222222222222
limited_access,0.3,all,early,domestic_use,2,0.8914053426248548,0.8780487804878049,0.9047619047619048
limited_access,0.3,all,early,customer_use,2,0.5060975609756098,0.5,0.5121951219512195
limited_access,0.3,all,early,resolved,2,0.39779326364692214,0.3809523809523809,0.4146341463414634
limited_access,0.3,all,early,customer_success,2,0.119047619047619,0.0952380952380952,0.1428571428571428
limited_access,0.3,all,early,first_customer,2,0.3376887340301974,0.3095238095238095,0.3658536585365853
limited_access,0.3,all,early,both_use,2,0.3975029036004646,0.3902439024390244,0.4047619047619047
