block,seed,channel,total,loss,gain,loss_resolved_other,loss_still_unresolved,net_share
symmetric,0,e,69,14,0,13,1,-0.2028985507246377
symmetric,1,d,81,13,0,11,2,-0.16049382716049382
symmetric,1,e,81,9,0,9,0,-0.1111111111111111
symmetric,2,d,75,9,0,9,0,-0.12
symmetric,2,e,75,10,0,10,0,-0.13333333333333333
symmetric,3,d,84,13,0,13,0,-0.15476190476190477
symmetric,3,e,84,19,0,16,3,-0.2261904761904762
symmetric,4,d,82,12,0,10,2,-0.14634146341463414
symmetric,4,e,82,9,0,9,0,-0.10975609756097561
symmetric,5,d,85,9,0,9,0,-0.10588235294117647
symmetric,5,e,85,21,0,19,2,-0.24705882352941178
symmetric,6,d,86,14,0,14,0,-0.16279069767441862
symmetric,6,e,86,15,0,13,2,-0.1744186046511628
symmetric,7,d,84,14,0,13,1,-0.16666666666666666
symmetric,7,e,84,12,0,12,0,-0.14285714285714285
symmetric,8,d,71,15,0,15,0,-0.2112676056338028
symmetric,8,e,71,7,0,6,1,-0.09859154929577464
symmetric,9,d,64,10,0,10,0,-0.15625
symmetric,9,e,64,16,0,16,0,-0.25
symmetric,10,d,77,10,0,10,0,-0.12987012987012986
symmetric,10,e,77,14,0,13,1,-0.18181818181818182
symmetric,11,d,75,17,0,15,2,-0.22666666666666666
symmetric,11,e,75,12,0,11,1,-0.16
symmetric,12,d,77,11,0,11,0,-0.14285714285714285
symmetric,12,e,77,11,0,9,2,-0.14285714285714285
symmetric,13,d,88,17,0,17,0,-0.19318181818181818
symmetric,13,e,88,20,0,18,2,-0.22727272727272727
symmetric,14,d,69,8,0,8,0,-0.11594202898550725
symmetric,14,e,69,12,0,12,0,-0.17391304347826086
symmetric,15,d,78,11,0,11,0,-0.14102564102564102
symmetric,15,e,78,9,0,8,1,-0.11538461538461539
symmetric,16,d,81,11,0,11,0,-0.13580246913580246
symmetric,16,e,81,7,0,7,0,-0.08641975308641975
symmetric,17,d,85,16,0,14,2,-0.18823529411764706
symmetric,17,e,85,15,0,13,2,-0.17647058823529413
symmetric,18,d,71,14,0,13,1,-0.19718309859154928
symmetric,18,e,71,12,0,11,1,-0.16901408450704225
symmetric,19,d,75,9,0,8,1,-0.12
symmetric,19,e,75,16,0,16,0,-0.21333333333333335
