time,expected_wait_d,expected_wait_e,scenario,seed
56,3.0,3.0,followup_48,0
57,3.0,3.0,followup_48,0
58,3.0,3.0,followup_48,0
59,3.0,3.0,followup_48,0
60,3.0,3.0,followup_48,0
61,3.0,3.0,followup_48,0
62,3.0,3.0,followup_48,0
63,3.0,3.0,followup_48,0
64,3.0,3.0,followup_48,0
65,3.0,3.0,followup_48,0
66,3.0,3.0,followup_48,0
67,3.0,3.0,followup_48,0
68,3.0,3.0,followup_48,0
69,3.0,3.0,followup_48,0
70,3.0,3.0,followup_48,0
71,3.0,3.0,followup_48,0
72,3.0,3.0,followup_48,0
73,3.0,3.0,followup_48,0
74,3.0,3.0,followup_48,0
75,3.0,3.0,followup_48,0
76,3.0,3.0,followup_48,0
77,3.0,3.0,followup_48,0
78,3.0,3.0,followup_48,0
79,3.0,3.0,followup_48,0
80,3.0,3.0,followup_48,0
81,3.0,3.0,followup_48,0
82,3.0,3.0,followup_48,0
83,3.0,3.0,followup_48,0
84,3.0,3.0,followup_48,0
85,3.0,3.0,followup_48,0
86,3.0,3.0,followup_48,0
87,3.0,3.0,followup_48,0
88,3.0,3.0,followup_48,0
89,3.0,3.0,followup_48,0
0,3.0,3.0,spacing_3,0
1,3.0,3.0,spacing_3,0
2,3.0,3.0,spacing_3,0
3,3.0,3.0,spacing_3,0
4,3.0,3.0,spacing_3,0
5,3.0,3.0,spacing_3,0
6,3.0,3.0,spacing_3,0
7,3.0,3.0,spacing_3,0
8,3.0,3.0,spacing_3,0
9,3.0,3.0,spacing_3,0
10,3.0,3.0,spacing_3,0
11,3.0,3.0,spacing_3,0
12,3.0,3.0,spacing_3,0
13,3.0,3.0,spacing_3,0
14,3.0,3.0,spacing_3,0
15,3.0,3.0,spacing_3,0
16,3.0,3.0,spacing_3,0
17,3.0,3.0,spacing_3,0
18,3.0,3.0,spacing_3,0
19,3.0,3.0,spacing_3,0
20,3.0,3.0,spacing_3,0
21,3.0,3.0,spacing_3,0
22,3.0,3.0,spacing_3,0
23,3.0,3.0,spacing_3,0
24,3.0,3.0,spacing_3,0
25,3.0,3.0,spacing_3,0
26,3.0,3.0,spacing_3,0
27,3.0,3.0,spacing_3,0
28,3.0,3.0,spacing_3,0
29,3.0,3.0,spacing_3,0
30,3.0,3.0,spacing_3,0
31,3.0,3.0,spacing_3,0
32,3.0,3.0,spacing_3,0
33,3.0,3.0,spacing_3,0
34,3.0,3.0,spacing_3,0
35,3.0,3.0,spacing_3,0
36,3.0,3.0,spacing_3,0
37,3.0,3.0,spacing_3,0
38,3.0,3.0,spacing_3,0
39,3.0,3.0,spacing_3,0
40,3.0,3.0,spacing_3,0
41,3.0,3.0,spacing_3,0
42,3.0,3.0,spacing_3,0
43,3.0,3.0,spacing_3,0
44,3.0,3.0,spacing_3,0
0,3.0,3.0,spacing_12,0
1,3.0,3.0,spacing_12,0
2,3.0,3.0,spacing_12,0
3,3.0,3.0,spacing_12,0
4,3.0,3.0,spacing_12,0
5,3.0,3.0,spacing_12,0
6,3.0,3.0,spacing_12,0
7,3.0,3.0,spacing_12,0
8,3.0,3.0,spacing_12,0
9,3.0,3.0,spacing_12,0
10,3.0,3.0,spacing_12,0
11,3.0,3.0,spacing_12,0
12,3.0,3.0,spacing_12,0
13,3.0,3.0,spacing_12,0
14,3.0,3.0,spacing_12,0
15,3.0,3.0,spacing_12,0
16,3.0,3.0,spacing_12,0
17,3.0,3.0,spacing_12,0
18,3.0,3.0,spacing_12,0
19,3.0,3.0,spacing_12,0
20,3.0,3.0,spacing_12,0
21,3.0,3.0,spacing_12,0
22,3.0,3.0,spacing_12,0
23,3.0,3.0,spacing_12,0
24,3.0,3.0,spacing_12,0
25,3.0,3.0,spacing_12,0
26,3.0,3.0,spacing_12,0
27,3.0,3.0,spacing_12,0
28,3.0,3.0,spacing_12,0
29,3.0,3.0,spacing_12,0
30,3.0,3.0,spacing_12,0
31,3.0,3.0,spacing_12,0
32,3.0,3.0,spacing_12,0
33,3.0,3.0,spacing_12,0
34,3.0,3.0,spacing_12,0
35,3.0,3.0,spacing_12,0
36,3.0,3.0,spacing_12,0
37,3.0,3.0,spacing_12,0
38,3.0,3.0,spacing_12,0
39,3.0,3.0,spacing_12,0
40,3.0,3.0,spacing_12,0
41,3.0,3.0,spacing_12,0
42,3.0,3.0,spacing_12,0
43,3.0,3.0,spacing_12,0
44,3.0,3.0,spacing_12,0
45,3.0,3.0,spacing_12,0
46,3.0,3.0,spacing_12,0
47,3.0,3.0,spacing_12,0
48,3.0,3.0,spacing_12,0
49,3.0,3.0,spacing_12,0
50,3.0,3.0,spacing_12,0
51,3.0,3.0,spacing_12,0
52,3.0,3.0,spacing_12,0
53,3.0,3.0,spacing_12,0
54,3.0,3.0,spacing_12,0
55,3.0,3.0,spacing_12,0
56,3.0,3.0,spacing_12,0
57,3.0,3.0,spacing_12,0
58,3.0,3.0,spacing_12,0
59,3.0,3.0,spacing_12,0
60,3.0,3.0,spacing_12,0
61,3.0,3.0,spacing_12,0
62,3.0,3.0,spacing_12,0
63,3.0,3.0,spacing_12,0
64,3.0,3.0,spacing_12,0
65,3.0,3.0,spacing_12,0
66,3.0,3.0,spacing_12,0
67,3.0,3.0,spacing_12,0
68,3.0,3.0,spacing_12,0
69,3.0,3.0,spacing_12,0
70,3.0,3.0,spacing_12,0
71,3.0,3.0,spacing_12,0
72,3.0,3.0,spacing_12,0
73,3.0,3.0,spacing_12,0
74,3.0,3.0,spacing_12,0
75,3.0,3.0,spacing_12,0
76,3.0,3.0,spacing_12,0
77,3.0,3.0,spacing_12,0
78,3.0,3.0,spacing_12,0
79,3.0,3.0,spacing_12,0
80,3.0,3.0,spacing_12,0
81,3.0,3.0,spacing_12,0
82,3.0,3.0,spacing_12,0
83,3.0,3.0,spacing_12,0
84,3.0,3.0,spacing_12,0
85,3.0,3.0,spacing_12,0
86,3.0,3.0,spacing_12,0
87,3.0,3.0,spacing_12,0
88,3.0,3.0,spacing_12,0
89,3.0,3.0,spacing_12,0
90,3.0,3.0,spacing_12,0
91,3.0,3.0,spacing_12,0
92,3.0,3.0,spacing_12,0
93,3.0,3.0,spacing_12,0
94,3.0,3.0,spacing_12,0
95,3.0,3.0,spacing_12,0
96,3.0,3.0,spacing_12,0
97,3.0,3.0,spacing_12,0
98,3.0,3.0,spacing_12,0
99,3.0,3.0,spacing_12,0
100,3.0,3.0,spacing_12,0
101,3.0,3.0,spacing_12,0
102,3.0,3.0,spacing_12,0
103,3.0,3.0,spacing_12,0
