scenario,seed,time,new_disputes,new_complaints,visible_complainants,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions,total_submitted,unresolved_fraction,submitted_unresolved_fraction,mean_processing_time,domestic_case_share,external_case_share,multi_case_share
effect_low,11,49,0,0,0,0,11,0,0,74,74,85,11,11,11,0,0,0,0,74,0.12941176470588237,0.0,4.648648648648648,1.0,0.0,0.0
effect_low,12,49,0,0,0,0,5,0,0,97,97,102,5,5,5,0,0,0,0,97,0.049019607843137254,0.0,7.865979381443299,1.0,0.0,0.0
effect_low,13,49,0,0,0,0,2,0,0,94,94,96,2,2,2,0,0,0,0,94,0.020833333333333332,0.0,6.531914893617022,1.0,0.0,0.0
effect_low,14,49,0,0,0,0,7,0,0,86,86,93,7,7,7,0,0,0,0,86,0.07526881720430108,0.0,4.965116279069767,1.0,0.0,0.0
effect_low,15,49,0,0,0,0,81,0,0,16,16,97,81,81,81,0,0,0,0,16,0.8350515463917526,0.0,3.4375,1.0,0.0,0.0
effect_low,16,49,0,0,0,0,26,0,0,59,59,85,26,26,26,0,0,0,0,59,0.3058823529411765,0.0,3.135593220338983,1.0,0.0,0.0
effect_low,17,49,0,0,0,0,8,0,0,88,88,96,8,8,8,0,0,0,0,88,0.08333333333333333,0.0,7.409090909090909,1.0,0.0,0.0
effect_low,18,49,0,0,0,0,26,0,0,61,61,87,26,26,26,0,0,0,0,61,0.2988505747126437,0.0,3.360655737704918,1.0,0.0,0.0
effect_low,19,49,0,0,0,0,0,0,0,102,102,102,0,0,0,0,0,0,0,102,0.0,0.0,7.519607843137255,1.0,0.0,0.0
effect_high,0,49,0,0,0,0,31,0,0,70,70,101,31,31,31,0,0,0,0,70,0.3069306930693069,0.0,0.15714285714285714,1.0,0.0,0.0
effect_high,1,49,0,0,0,0,42,0,0,42,42,84,42,42,42,0,0,0,0,42,0.5,0.0,0.19047619047619047,1.0,0.0,0.0
effect_high,2,49,0,0,0,0,6,0,0,86,86,92,6,6,6,0,0,0,0,86,0.06521739130434782,0.0,0.27906976744186046,1.0,0.0,0.0
effect_high,3,49,0,0,0,0,83,0,0,6,6,89,83,83,83,0,0,0,0,6,0.9325842696629213,0.0,0.0,1.0,0.0,0.0
effect_high,4,49,0,0,0,0,3,0,0,99,99,102,3,3,3,0,0,0,0,99,0.029411764705882353,0.0,0.37373737373737376,1.0,0.0,0.0
effect_high,5,49,0,0,0,0,2,0,0,94,94,96,2,2,2,0,0,0,0,94,0.020833333333333332,0.0,0.14893617021276595,1.0,0.0,0.0
effect_high,6,49,0,0,0,0,9,0,0,85,85,94,9,9,9,0,0,0,0,85,0.09574468085106383,0.0,0.4235294117647059,1.0,0.0,0.0
effect_high,7,49,0,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0,80,0.13978494623655913,0.0,0.5125,1.0,0.0,0.0
effect_high,8,49,0,0,0,0,7,0,0,92,92,99,7,7,7,0,0,0,0,92,0.0707070707070707,0.0,0.2608695652173913,1.0,0.0,0.0
effect_high,9,49,0,0,0,0,6,0,0,96,96,102,6,6,6,0,0,0,0,96,0.058823529411764705,0.0,0.4270833333333333,1.0,0.0,0.0
effect_high,10,49,0,0,0,0,13,0,0,84,84,97,13,13,13,0,0,0,0,84,0.13402061855670103,0.0,0.13095238095238096,1.0,0.0,0.0
effect_high,11,49,0,0,0,0,11,0,0,74,74,85,11,11,11,0,0,0,0,74,0.12941176470588237,0.0,0.25675675675675674,1.0,0.0,0.0
effect_high,12,49,0,0,0,0,5,0,0,97,97,102,5,5,5,0,0,0,0,97,0.049019607843137254,0.0,0.4948453608247423,1.0,0.0,0.0
effect_high,13,49,0,0,0,0,5,0,0,91,91,96,5,5,5,0,0,0,0,91,0.052083333333333336,0.0,0.45054945054945056,1.0,0.0,0.0
effect_high,14,49,0,0,0,0,12,0,0,81,81,93,12,12,12,0,0,0,0,81,0.12903225806451613,0.0,0.2716049382716049,1.0,0.0,0.0
effect_high,15,49,0,0,0,0,81,0,0,16,16,97,81,81,81,0,0,0,0,16,0.8350515463917526,0.0,0.1875,1.0,0.0,0.0
effect_high,16,49,0,0,0,0,34,0,0,51,51,85,34,34,34,0,0,0,0,51,0.4,0.0,0.23529411764705882,1.0,0.0,0.0
effect_high,17,49,0,0,0,0,11,0,0,85,85,96,11,11,11,0,0,0,0,85,0.11458333333333333,0.0,0.788235294117647,1.0,0.0,0.0
effect_high,18,49,0,0,0,0,28,0,0,59,59,87,28,28,28,0,0,0,0,59,0.3218390804597701,0.0,0.2711864406779661,1.0,0.0,0.0
effect_high,19,49,0,0,0,0,12,0,0,90,90,102,12,12,12,0,0,0,0,90,0.11764705882352941,0.0,0.28888888888888886,1.0,0.0,0.0
threshold_low,0,49,0,0,0,0,3,0,0,98,98,101,3,3,3,0,0,0,0,98,0.0297029702970297,0.0,2.193877551020408,1.0,0.0,0.0
threshold_low,1,49,0,0,0,0,5,0,0,79,79,84,5,5,5,0,0,0,0,79,0.05952380952380952,0.0,1.759493670886076,1.0,0.0,0.0
threshold_low,2,49,0,0,0,0,2,0,0,90,90,92,2,2,2,0,0,0,0,90,0.021739130434782608,0.0,1.8111111111111111,1.0,0.0,0.0
threshold_low,3,49,0,0,0,0,7,0,0,82,82,89,7,7,7,0,0,0,0,82,0.07865168539325842,0.0,1.4878048780487805,1.0,0.0,0.0
threshold_low,4,49,0,0,0,0,1,0,0,101,101,102,1,1,1,0,0,0,0,101,0.00980392156862745,0.0,2.277227722772277,1.0,0.0,0.0
threshold_low,5,49,0,0,0,0,1,0,0,95,95,96,1,1,1,0,0,0,0,95,0.010416666666666666,0.0,2.2736842105263158,1.0,0.0,0.0
threshold_low,6,49,0,0,0,0,4,0,0,90,90,94,4,4,4,0,0,0,0,90,0.0425531914893617,0.0,2.188888888888889,1.0,0.0,0.0
threshold_low,7,49,0,0,0,0,4,0,0,89,89,93,4,4,4,0,0,0,0,89,0.043010752688172046,0.0,2.359550561797753,1.0,0.0,0.0
threshold_low,8,49,0,0,0,0,3,0,0,96,96,99,3,3,3,0,0,0,0,96,0.030303030303030304,0.0,2.25,1.0,0.0,0.0
threshold_low,9,49,0,0,0,0,3,0,0,99,99,102,3,3,3,0,0,0,0,99,0.029411764705882353,0.0,2.4545454545454546,1.0,0.0,0.0
