block,comparison,metric,n,mean_difference,sd_difference,se_difference,ci_low,ci_high
mechanisms,no_social - base,d_to_e_all,2,-0.03125,0.04419417382415922,0.03125,-0.0625,0.0
mechanisms,no_social - base,e_to_d_all,2,0.0,0.0,0.0,0.0,0.0
mechanisms,no_social - base,both_use,2,-0.03125,0.04419417382415922,0.03125,-0.0625,0.0
mechanisms,neither - base,domestic_use,2,-0.035714285714285754,0.050507627227610596,0.035714285714285754,-0.07142857142857151,0.0
mechanisms,neither - base,customer_use,2,-0.3794642857142857,0.27147849634840665,0.1919642857142857,-0.5714285714285714,-0.1875
mechanisms,neither - base,resolved_share,2,-0.07142857142857142,0.10101525445522107,0.07142857142857142,-0.14285714285714285,0.0
mechanisms,neither - base,d_to_e_all,2,-0.3794642857142857,0.27147849634840665,0.1919642857142857,-0.5714285714285714,-0.1875
mechanisms,neither - base,e_to_d_all,2,-0.03571428571428571,0.050507627227610534,0.03571428571428571,-0.07142857142857142,0.0
mechanisms,neither - base,both_use,2,-0.41517857142857145,0.3219861235760172,0.22767857142857142,-0.6428571428571429,-0.1875
mechanisms,factorial_interaction,domestic_use,2,0.0,0.0,0.0,0.0,0.0
mechanisms,factorial_interaction,customer_use,2,0.031249999999999986,0.04419417382415924,0.03125000000000001,-2.7755575615628914e-17,0.0625
mechanisms,factorial_interaction,resolved_share,2,0.0,0.0,0.0,0.0,0.0
mechanisms,factorial_interaction,d_to_e_all,2,0.03125,0.04419417382415922,0.03125,0.0,0.0625
mechanisms,factorial_interaction,e_to_d_all,2,0.0,0.0,0.0,0.0,0.0
mechanisms,factorial_interaction,both_use,2,0.031250000000000014,0.0441941738241592,0.031249999999999986,2.7755575615628914e-17,0.0625
symmetric,first_d_all - first_e_all,symmetry_gap,2,-0.13839285714285715,0.1073287078586724,0.07589285714285715,-0.2142857142857143,-0.0625
symmetric,domestic_use - customer_use,symmetry_gap,2,-0.09821428571428575,0.03788072042070785,0.026785714285714246,-0.125,-0.07142857142857151
