time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,cumulative_domestic_share,cumulative_customer_share,new_d_to_e,new_e_to_d,scenario,seed
37,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
38,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
39,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
40,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
41,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
42,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
43,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
44,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,31,71,71,0,0,0.9859154929577465,0.5915492957746479,0.0,0.0,both,18
0,75,75,75,75,0,0,75,75,0,0,75,75,0,0,0,0,0,0,75,75,0,0,1.0,0.0,0.0,0.0,domestic_only,19
1,0,0,0,0,0,0,75,75,0,0,75,75,0,0,0,0,0,0,75,75,75,0,1.0,0.0,0.0,0.0,domestic_only,19
2,0,0,0,0,0,0,75,71,0,4,71,63,8,8,0,0,0,0,75,75,75,0,1.0,0.0,0.0,0.0,domestic_only,19
3,0,0,0,0,0,0,67,58,0,9,58,51,7,7,8,0,8,8,75,75,75,0,1.0,0.0,0.0,0.0,domestic_only,19
4,0,0,0,0,0,0,62,44,0,18,44,39,5,5,5,0,5,13,75,75,58,0,1.0,0.0,0.0,0.0,domestic_only,19
5,0,0,0,0,0,0,58,35,0,23,35,27,8,8,4,0,4,17,75,75,44,0,1.0,0.0,0.0,0.0,domestic_only,19
6,0,0,0,0,0,0,51,21,0,30,21,15,6,6,7,0,7,24,75,75,35,0,1.0,0.0,0.0,0.0,domestic_only,19
7,0,0,0,0,0,0,45,8,0,37,8,3,5,5,6,0,6,30,75,75,21,0,1.0,0.0,0.0,0.0,domestic_only,19
8,0,0,0,0,0,0,40,2,0,38,2,0,2,2,5,0,5,35,75,75,8,0,1.0,0.0,0.0,0.0,domestic_only,19
